,auc,selection rate,true positive rate,false positive rate
difference,0.5406746031746031,0.1810060261678983,0.875,0.2560362173038229
difference_to_overall,0.39324205951177915,0.11020498509003618,0.5559022360894436,0.23058188293411452
ratio,0.3457382953181273,0.4877269642186036,0.0,0.4025821596244131
ratio_to_overall,0.42081392673214424,0.609946225597635,0.0,0.4619756064870661
group_min,0.2857142857142857,0.17233294255568582,0.0,0.17253521126760563
group_max,0.8263888888888888,0.3533389687235841,0.875,0.42857142857142855
overall,0.6789563452260649,0.282537927645722,0.5559022360894436,0.19798954563731402
