,auc,selection rate,true positive rate,false positive rate
difference,0.051106008430405914,0.05314797428252979,0.12805410122164052,0.031590413943355114
difference_to_overall,0.04800316010997285,0.05099252055541692,0.1245961227786753,0.028589802558729824
ratio,0.9094806244407468,0.6567619317778881,0.49396551724137927,0.7563025210084033
ratio_to_overall,0.9145065604928706,0.666033290263738,0.5008090614886731,0.7742239262772005
group_min,0.5134803921568627,0.1016949152542373,0.125,0.09803921568627451
group_max,0.5645864005872686,0.1548428895367671,0.2530541012216405,0.12962962962962962
overall,0.5614835522668356,0.15268743580965422,0.2495961227786753,0.12662901824500433
