,auc,selection rate,true positive rate,false positive rate
difference,0.05224125203099428,0.055739487078124234,0.13503490401396162,0.03529411764705882
difference_to_overall,0.04715136866360803,0.05475835417404068,0.1270193861066236,0.03271664877940751
ratio,0.9076555536318728,0.6459510357815442,0.48070469798657717,0.7352941176470589
ratio_to_overall,0.9158960088265368,0.6500018543930572,0.4959935897435897,0.7497882874079864
group_min,0.5134803921568627,0.1016949152542373,0.125,0.09803921568627451
group_max,0.565721644187857,0.15743440233236153,0.2600349040139616,0.13333333333333333
overall,0.5606317608204707,0.15645326942827797,0.2520193861066236,0.13075586446568202
