,auc,selection rate,true positive rate,false positive rate
difference,0.0704033975336893,0.03681415929203541,0.1451817950673786,0.00788888888888889
difference_to_overall,0.06757620526491515,0.03645326942827798,0.1409082749955125,0.00575586446568202
ratio,0.8750514174143609,0.765237020316027,0.433531746031746,0.9406354515050167
ratio_to_overall,0.8794641866775099,0.7670021881838075,0.44088319088319083,0.9559800664451827
group_min,0.4930555555555556,0.12,0.1111111111111111,0.125
group_max,0.5634589530892449,0.1568141592920354,0.2562929061784897,0.1328888888888889
overall,0.5606317608204707,0.15645326942827797,0.2520193861066236,0.13075586446568202
