,auc,selection rate,true positive rate,false positive rate
difference,0.06251009089753357,0.025549738219895285,0.11469534050179211,0.01344444444444444
difference_to_overall,0.06110364294992332,0.016768230058199246,0.11102136061748341,0.01118592528236316
ratio,0.887483880083986,0.8244604316546763,0.49206349206349204,0.8924444444444445
ratio_to_overall,0.8897363012024077,0.8773967459324156,0.5002020202020202,0.9105125977410948
group_min,0.4930555555555556,0.12,0.1111111111111111,0.11155555555555556
group_max,0.5555656464530891,0.14554973821989528,0.22580645161290322,0.125
overall,0.5541591985054789,0.13676823005819924,0.22213247172859452,0.11381407471763684
