,auc,selection rate,true positive rate,false positive rate
difference,0.3457746478873239,0.44794996199638554,0.7507552870090635,0.31022158684774837
difference_to_overall,0.26523093759850225,0.2731031712754595,0.6801872074882995,0.15794129473260957
ratio,0.5891786361734765,0.0179901729541389,0.0,0.0
ratio_to_overall,0.6515268191873674,0.0291718926777825,0.0,0.0
group_min,0.49589201877934275,0.008206330597889801,0.0,0.0
group_max,0.8416666666666667,0.4561562925942753,0.7507552870090635,0.31022158684774837
overall,0.761122956377845,0.2813095018733493,0.6801872074882995,0.15794129473260957
