,auc,selection rate,true positive rate,false positive rate
difference,0.07854529280537881,0.11340408805031443,0.12231696559835337,0.0729106628242075
difference_to_overall,0.050155239110876826,0.09263025659033042,0.06566206782349504,0.05794129473260956
ratio,0.9031832813427676,0.6245933636955108,0.8339984038308061,0.5783333333333334
ratio_to_overall,0.9381775087882612,0.6707176402735437,0.9034647122136231,0.6331466395112016
group_min,0.732732902683343,0.18867924528301888,0.6145251396648045,0.1
group_max,0.8112781954887218,0.3020833333333333,0.7368421052631579,0.1729106628242075
overall,0.761122956377845,0.2813095018733493,0.6801872074882995,0.15794129473260957
