,auc,selection rate,true positive rate,false positive rate
difference,0.054693674600715836,0.05674722118146622,0.15995397008055245,0.05056662087912088
difference_to_overall,0.039920096683435435,0.05055150446776077,0.12668229573673706,0.04684210236986626
ratio,0.9355522445258192,0.7105891719745223,0.8045007032348803,0.5816761363636364
ratio_to_overall,0.9529605452853221,0.7421873272144202,0.8451660829884324,0.6124880622129246
group_min,0.7939576740506329,0.1393312101910828,0.6582278481012658,0.0703125
group_max,0.8486513486513487,0.19607843137254902,0.8181818181818182,0.12087912087912088
overall,0.8087312519679133,0.14552692690478825,0.6914995224450812,0.07403701850925462
