,auc,selection rate,true positive rate,false positive rate
difference,0.4041666666666667,0.5469146238377007,0.9138972809667674,0.35025017869907077
difference_to_overall,0.3309649177281929,0.3340089675081383,0.8395735829433177,0.17764374748693204
ratio,0.5529953917050692,0.0,0.0,0.0
ratio_to_overall,0.6017101195643365,0.0,0.0,0.0
group_min,0.5,0.0,0.0,0.0
group_max,0.9041666666666667,0.5469146238377007,0.9138972809667674,0.35025017869907077
overall,0.8309649177281929,0.3340089675081383,0.8395735829433177,0.17764374748693204
