,auc,selection rate,true positive rate,false positive rate
difference,0.05831809126904941,0.21992924528301885,0.1602020811340672,0.15797454267232386
difference_to_overall,0.03374415098446548,0.18935487945782384,0.15536305662752825,0.1412801111232957
ratio,0.9325575579357912,0.3967654986522911,0.8102798564106228,0.18711524695776663
ratio_to_overall,0.960976295721401,0.4330844441977142,0.8149500415641147,0.20469978188402815
group_min,0.806390977443609,0.14465408805031446,0.6842105263157895,0.03636363636363636
group_max,0.8647090687126584,0.3645833333333333,0.8444126074498567,0.1943381790359602
overall,0.8309649177281929,0.3340089675081383,0.8395735829433177,0.17764374748693204
