,auc,selection rate,true positive rate,false positive rate
difference,0.4487676056338028,0.4786839315462668,0.875,0.3995711222301644
difference_to_overall,0.3285110625614647,0.287712671211842,0.8047321892875715,0.23691194209891436
ratio,0.5036671642759785,0.14827539746699003,0.0,0.0
ratio_to_overall,0.5809327464031218,0.22459029961926832,0.0,0.0
group_min,0.45539906103286387,0.08333333333333333,0.0,0.0
group_max,0.9041666666666667,0.5620172648796001,0.875,0.3995711222301644
overall,0.7839101235943285,0.37104600454517533,0.8047321892875715,0.23691194209891436
